description,category,source
Buenas tardes. Quiero anular la renovación y cancelar el plan al finalizar este mes El problema continúa hasta este momento. Referencia CNCL-017.,CNCL,synthetic
Buenas tardes. Quiero reducir la velocidad para contratar un plan más económico El problema continúa hasta este momento. Referencia PLAN-013.,PLAN,synthetic
"Hola, por favor ayúdenme. Deseo retirar todos los equipos y cerrar mi cuenta de cliente El problema continúa hasta este momento. Referencia CNCL-047.",CNCL,synthetic
Por favor revisen mi solicitud. Solicito una copia de la factura con el detalle de todos los cargos El problema continúa hasta este momento. Referencia BILL-059.,BILL,synthetic
"Hola, por favor ayúdenme. Solicito una copia de la factura con el detalle de todos los cargos El problema continúa hasta este momento. Referencia BILL-021.",BILL,synthetic
"Buenos días, necesito asistencia. El servicio de televisión muestra la pantalla congelada y sin audio Agradezco una respuesta lo antes posible. Referencia TECH-025.",TECH,synthetic
Por favor revisen mi solicitud. No estoy conforme con el servicio y quiero finalizar el contrato Agradezco una respuesta lo antes posible. Referencia CNCL-013.,CNCL,synthetic
"Buenos días, necesito asistencia. Quiero registrar un nuevo número telefónico para recibir notificaciones Agradezco una respuesta lo antes posible. Referencia OTHR-007.",OTHR,synthetic
Estimado equipo de atención al cliente: Solicito terminar mi contrato y conocer el proceso de cancelación Agradezco una respuesta lo antes posible. Referencia CNCL-055.,CNCL,synthetic
Estimado equipo de atención al cliente: Solicito activar un paquete adicional de canales deportivos El problema continúa hasta este momento. Referencia PLAN-075.,PLAN,synthetic
Estimado equipo de atención al cliente: Mi conexión a internet está demasiado lenta y no puedo trabajar Agradezco una respuesta lo antes posible. Referencia TECH-070.,TECH,synthetic
Por favor revisen mi solicitud. No puedo navegar aunque ya reinicié el router varias veces El problema continúa hasta este momento. Referencia TECH-064.,TECH,synthetic
"Buenos días, necesito asistencia. Deseo renovar mi plan y conocer las promociones vigentes para clientes El problema continúa hasta este momento. Referencia PLAN-079.",PLAN,synthetic
"Hola, por favor ayúdenme. Necesito actualizar el correo electrónico registrado en mi perfil El problema continúa hasta este momento. Referencia OTHR-030.",OTHR,synthetic
"Hola, por favor ayúdenme. Mi factura tiene un cobro adicional que no reconozco este mes El problema continúa hasta este momento. Referencia BILL-005.",BILL,synthetic
Buenas tardes. La fecha límite de pago indicada en la factura parece incorrecta El problema continúa hasta este momento. Referencia BILL-016.,BILL,synthetic
Por favor revisen mi solicitud. Necesito solicitar una copia del contrato firmado cuando instalé el servicio Necesito resolverlo durante el día de hoy. Referencia OTHR-065.,OTHR,synthetic
"Hola, por favor ayúdenme. Necesito actualizar el correo electrónico registrado en mi perfil Necesito resolverlo durante el día de hoy. Referencia OTHR-026.",OTHR,synthetic
Estimado equipo de atención al cliente: Necesito una explicación del valor total facturado en mi cuenta El problema continúa hasta este momento. Referencia BILL-062.,BILL,synthetic
Buenas tardes. Ya pagué la mensualidad pero todavía aparece como una deuda pendiente Necesito resolverlo durante el día de hoy. Referencia BILL-054.,BILL,synthetic
"Hola, por favor ayúdenme. ¿Cuál es el horario de atención de la oficina ubicada en el centro? Agradezco una respuesta lo antes posible. Referencia OTHR-070.",OTHR,synthetic
Estimado equipo de atención al cliente: Necesito migrar mi contrato al nuevo plan de fibra óptica Necesito resolverlo durante el día de hoy. Referencia PLAN-018.,PLAN,synthetic
"Hola, por favor ayúdenme. Quisiera dejar un comentario sobre la atención recibida por el asesor El problema continúa hasta este momento. Referencia OTHR-017.",OTHR,synthetic
Por favor revisen mi solicitud. Necesito una explicación del valor total facturado en mi cuenta ¿Podrían indicarme qué debo hacer? Referencia BILL-008.,BILL,synthetic
"Hola, por favor ayúdenme. La señal de wifi se desconecta constantemente en toda la casa Necesito resolverlo durante el día de hoy. Referencia TECH-022.",TECH,synthetic
"Buenos días, necesito asistencia. El descuento ofrecido no fue aplicado en mi última factura Quedo atento a su pronta respuesta. Referencia BILL-044.",BILL,synthetic
Por favor revisen mi solicitud. La fecha límite de pago indicada en la factura parece incorrecta ¿Podrían indicarme qué debo hacer? Referencia BILL-073.,BILL,synthetic
"Buenos días, necesito asistencia. El descuento ofrecido no fue aplicado en mi última factura ¿Podrían indicarme qué debo hacer? Referencia BILL-014.",BILL,synthetic
"Buenos días, necesito asistencia. Necesito migrar mi contrato al nuevo plan de fibra óptica Agradezco una respuesta lo antes posible. Referencia PLAN-077.",PLAN,synthetic
"Hola, por favor ayúdenme. El módem tiene una luz roja y desde ayer no tengo conexión Necesito resolverlo durante el día de hoy. Referencia TECH-003.",TECH,synthetic
Buenas tardes. Necesito una explicación del valor total facturado en mi cuenta ¿Podrían indicarme qué debo hacer? Referencia BILL-025.,BILL,synthetic
Estimado equipo de atención al cliente: Necesito corregir un dato personal que aparece mal escrito en el sistema Agradezco una respuesta lo antes posible. Referencia OTHR-080.,OTHR,synthetic
Estimado equipo de atención al cliente: El módem tiene una luz roja y desde ayer no tengo conexión El problema continúa hasta este momento. Referencia TECH-012.,TECH,synthetic
"Hola, por favor ayúdenme. Necesito solicitar una copia del contrato firmado cuando instalé el servicio El problema continúa hasta este momento. Referencia OTHR-004.",OTHR,synthetic
Por favor revisen mi solicitud. Quiero cambiar el nombre del titular asociado con la cuenta Quedo atento a su pronta respuesta. Referencia OTHR-042.,OTHR,synthetic
Buenas tardes. La fecha límite de pago indicada en la factura parece incorrecta El problema continúa hasta este momento. Referencia BILL-002.,BILL,synthetic
Buenas tardes. Quiero reducir la velocidad para contratar un plan más económico Agradezco una respuesta lo antes posible. Referencia PLAN-076.,PLAN,synthetic
"Hola, por favor ayúdenme. Necesito una explicación del valor total facturado en mi cuenta ¿Podrían indicarme qué debo hacer? Referencia BILL-009.",BILL,synthetic
"Hola, por favor ayúdenme. Mi factura tiene un cobro adicional que no reconozco este mes Quedo atento a su pronta respuesta. Referencia BILL-017.",BILL,synthetic
"Hola, por favor ayúdenme. Me voy a mudar y deseo dar de baja todos los servicios contratados El problema continúa hasta este momento. Referencia CNCL-030.",CNCL,synthetic
"Hola, por favor ayúdenme. No puedo navegar aunque ya reinicié el router varias veces El problema continúa hasta este momento. Referencia TECH-017.",TECH,synthetic
Buenas tardes. Deseo renovar mi plan y conocer las promociones vigentes para clientes ¿Podrían indicarme qué debo hacer? Referencia PLAN-011.,PLAN,synthetic
Por favor revisen mi solicitud. Quisiera retirar la telefonía y mantener solamente el servicio de internet Necesito resolverlo durante el día de hoy. Referencia PLAN-008.,PLAN,synthetic
Estimado equipo de atención al cliente: Solicito activar un paquete adicional de canales deportivos ¿Podrían indicarme qué debo hacer? Referencia PLAN-010.,PLAN,synthetic
"Hola, por favor ayúdenme. Necesito cancelar la cuenta antes del próximo ciclo de facturación ¿Podrían indicarme qué debo hacer? Referencia CNCL-028.",CNCL,synthetic
"Buenos días, necesito asistencia. Necesito solicitar una copia del contrato firmado cuando instalé el servicio Quedo atento a su pronta respuesta. Referencia OTHR-015.",OTHR,synthetic
Por favor revisen mi solicitud. Necesito conocer los planes disponibles y sus beneficios mensuales ¿Podrían indicarme qué debo hacer? Referencia PLAN-044.,PLAN,synthetic
Estimado equipo de atención al cliente: Solicito terminar mi contrato y conocer el proceso de cancelación Necesito resolverlo durante el día de hoy. Referencia CNCL-011.,CNCL,synthetic
Por favor revisen mi solicitud. Necesito una explicación del valor total facturado en mi cuenta Quedo atento a su pronta respuesta. Referencia BILL-058.,BILL,synthetic
Estimado equipo de atención al cliente: No estoy conforme con el servicio y quiero finalizar el contrato Necesito resolverlo durante el día de hoy. Referencia CNCL-033.,CNCL,synthetic
"Buenos días, necesito asistencia. La señal de wifi se desconecta constantemente en toda la casa Necesito resolverlo durante el día de hoy. Referencia TECH-033.",TECH,synthetic
Estimado equipo de atención al cliente: Solicito activar un paquete adicional de canales deportivos Quedo atento a su pronta respuesta. Referencia PLAN-035.,PLAN,synthetic
Buenas tardes. Me voy a mudar y deseo dar de baja todos los servicios contratados El problema continúa hasta este momento. Referencia CNCL-002.,CNCL,synthetic
Por favor revisen mi solicitud. Deseo agregar televisión y telefonía a mi paquete de servicios ¿Podrían indicarme qué debo hacer? Referencia PLAN-078.,PLAN,synthetic
"Hola, por favor ayúdenme. No puedo navegar aunque ya reinicié el router varias veces ¿Podrían indicarme qué debo hacer? Referencia TECH-072.",TECH,synthetic
Buenas tardes. La velocidad contratada no coincide con la que recibo actualmente Agradezco una respuesta lo antes posible. Referencia TECH-013.,TECH,synthetic
Por favor revisen mi solicitud. Quiero reducir la velocidad para contratar un plan más económico Quedo atento a su pronta respuesta. Referencia PLAN-042.,PLAN,synthetic
"Buenos días, necesito asistencia. Necesito soporte porque el internet se cae cada pocos minutos El problema continúa hasta este momento. Referencia TECH-009.",TECH,synthetic
"Hola, por favor ayúdenme. La velocidad contratada no coincide con la que recibo actualmente Necesito resolverlo durante el día de hoy. Referencia TECH-043.",TECH,synthetic
Por favor revisen mi solicitud. Necesito migrar mi contrato al nuevo plan de fibra óptica El problema continúa hasta este momento. Referencia PLAN-074.,PLAN,synthetic
"Buenos días, necesito asistencia. Ya pagué la mensualidad pero todavía aparece como una deuda pendiente Agradezco una respuesta lo antes posible. Referencia BILL-077.",BILL,synthetic
"Buenos días, necesito asistencia. Necesito soporte porque el internet se cae cada pocos minutos ¿Podrían indicarme qué debo hacer? Referencia TECH-007.",TECH,synthetic
Por favor revisen mi solicitud. Mi conexión a internet está demasiado lenta y no puedo trabajar Agradezco una respuesta lo antes posible. Referencia TECH-077.,TECH,synthetic
Buenas tardes. Solicito activar un paquete adicional de canales deportivos Necesito resolverlo durante el día de hoy. Referencia PLAN-065.,PLAN,synthetic
"Buenos días, necesito asistencia. Solicito una copia de la factura con el detalle de todos los cargos Agradezco una respuesta lo antes posible. Referencia BILL-040.",BILL,synthetic
Buenas tardes. Ya pagué la mensualidad pero todavía aparece como una deuda pendiente El problema continúa hasta este momento. Referencia BILL-020.,BILL,synthetic
Estimado equipo de atención al cliente: Necesito cancelar la cuenta antes del próximo ciclo de facturación Necesito resolverlo durante el día de hoy. Referencia CNCL-015.,CNCL,synthetic
Estimado equipo de atención al cliente: Solicito la baja inmediata del internet y de la televisión contratada ¿Podrían indicarme qué debo hacer? Referencia CNCL-062.,CNCL,synthetic
Estimado equipo de atención al cliente: El router no enciende después del último corte de energía Necesito resolverlo durante el día de hoy. Referencia TECH-037.,TECH,synthetic
Estimado equipo de atención al cliente: Quiero registrar un nuevo número telefónico para recibir notificaciones ¿Podrían indicarme qué debo hacer? Referencia OTHR-027.,OTHR,synthetic
"Buenos días, necesito asistencia. No estoy conforme con el servicio y quiero finalizar el contrato Necesito resolverlo durante el día de hoy. Referencia CNCL-053.",CNCL,synthetic
Estimado equipo de atención al cliente: Solicito terminar mi contrato y conocer el proceso de cancelación ¿Podrían indicarme qué debo hacer? Referencia CNCL-058.,CNCL,synthetic
Buenas tardes. Deseo conocer la dirección de la sucursal más cercana a mi domicilio Quedo atento a su pronta respuesta. Referencia OTHR-033.,OTHR,synthetic
"Buenos días, necesito asistencia. Necesito corregir un dato personal que aparece mal escrito en el sistema Necesito resolverlo durante el día de hoy. Referencia OTHR-023.",OTHR,synthetic
"Hola, por favor ayúdenme. El módem tiene una luz roja y desde ayer no tengo conexión Quedo atento a su pronta respuesta. Referencia TECH-068.",TECH,synthetic
"Buenos días, necesito asistencia. No estoy conforme con el servicio y quiero finalizar el contrato ¿Podrían indicarme qué debo hacer? Referencia CNCL-001.",CNCL,synthetic
Estimado equipo de atención al cliente: Solicito terminar mi contrato y conocer el proceso de cancelación Necesito resolverlo durante el día de hoy. Referencia CNCL-077.,CNCL,synthetic
Por favor revisen mi solicitud. Solicito la baja inmediata del internet y de la televisión contratada Quedo atento a su pronta respuesta. Referencia CNCL-034.,CNCL,synthetic
Estimado equipo de atención al cliente: Necesito soporte porque el internet se cae cada pocos minutos El problema continúa hasta este momento. Referencia TECH-032.,TECH,synthetic
"Hola, por favor ayúdenme. Quiero reducir la velocidad para contratar un plan más económico Agradezco una respuesta lo antes posible. Referencia PLAN-048.",PLAN,synthetic
"Buenos días, necesito asistencia. Deseo renovar mi plan y conocer las promociones vigentes para clientes Agradezco una respuesta lo antes posible. Referencia PLAN-041.",PLAN,synthetic
"Buenos días, necesito asistencia. Quiero cambiar el nombre del titular asociado con la cuenta Quedo atento a su pronta respuesta. Referencia OTHR-047.",OTHR,synthetic
Buenas tardes. Necesito solicitar una copia del contrato firmado cuando instalé el servicio Necesito resolverlo durante el día de hoy. Referencia OTHR-071.,OTHR,synthetic
Buenas tardes. Mi factura tiene un cobro adicional que no reconozco este mes Agradezco una respuesta lo antes posible. Referencia BILL-053.,BILL,synthetic
"Hola, por favor ayúdenme. Quiero actualizar el método de pago asociado con mi cuenta Necesito resolverlo durante el día de hoy. Referencia BILL-012.",BILL,synthetic
Buenas tardes. Quisiera retirar la telefonía y mantener solamente el servicio de internet ¿Podrían indicarme qué debo hacer? Referencia PLAN-027.,PLAN,synthetic
Buenas tardes. Solicito una copia de la factura con el detalle de todos los cargos El problema continúa hasta este momento. Referencia BILL-028.,BILL,synthetic
Buenas tardes. Quiero actualizar el método de pago asociado con mi cuenta Necesito resolverlo durante el día de hoy. Referencia BILL-052.,BILL,synthetic
Buenas tardes. Necesito conocer los planes disponibles y sus beneficios mensuales Necesito resolverlo durante el día de hoy. Referencia PLAN-049.,PLAN,synthetic
Estimado equipo de atención al cliente: Solicito la baja inmediata del internet y de la televisión contratada El problema continúa hasta este momento. Referencia CNCL-069.,CNCL,synthetic
"Buenos días, necesito asistencia. No puedo navegar aunque ya reinicié el router varias veces Agradezco una respuesta lo antes posible. Referencia TECH-058.",TECH,synthetic
Estimado equipo de atención al cliente: La velocidad contratada no coincide con la que recibo actualmente Agradezco una respuesta lo antes posible. Referencia TECH-008.,TECH,synthetic
"Buenos días, necesito asistencia. Quiero actualizar el método de pago asociado con mi cuenta Agradezco una respuesta lo antes posible. Referencia BILL-043.",BILL,synthetic
"Buenos días, necesito asistencia. Me cobraron dos veces el mismo servicio en la tarjeta de crédito ¿Podrían indicarme qué debo hacer? Referencia BILL-076.",BILL,synthetic
"Buenos días, necesito asistencia. Solicito una copia de la factura con el detalle de todos los cargos ¿Podrían indicarme qué debo hacer? Referencia BILL-042.",BILL,synthetic
"Buenos días, necesito asistencia. Me voy a mudar y deseo dar de baja todos los servicios contratados Necesito resolverlo durante el día de hoy. Referencia CNCL-021.",CNCL,synthetic
"Buenos días, necesito asistencia. Necesito corregir un dato personal que aparece mal escrito en el sistema Agradezco una respuesta lo antes posible. Referencia OTHR-054.",OTHR,synthetic
"Buenos días, necesito asistencia. Solicito la baja inmediata del internet y de la televisión contratada Agradezco una respuesta lo antes posible. Referencia CNCL-075.",CNCL,synthetic
Buenas tardes. Solicito activar un paquete adicional de canales deportivos El problema continúa hasta este momento. Referencia PLAN-064.,PLAN,synthetic
Buenas tardes. Necesito cancelar la cuenta antes del próximo ciclo de facturación ¿Podrían indicarme qué debo hacer? Referencia CNCL-071.,CNCL,synthetic
Por favor revisen mi solicitud. Solicito una copia de la factura con el detalle de todos los cargos Necesito resolverlo durante el día de hoy. Referencia BILL-019.,BILL,synthetic
Por favor revisen mi solicitud. Solicito activar un paquete adicional de canales deportivos Necesito resolverlo durante el día de hoy. Referencia PLAN-056.,PLAN,synthetic
"Buenos días, necesito asistencia. ¿Cuál es el horario de atención de la oficina ubicada en el centro? Necesito resolverlo durante el día de hoy. Referencia OTHR-068.",OTHR,synthetic
Buenas tardes. Quisiera dejar un comentario sobre la atención recibida por el asesor Agradezco una respuesta lo antes posible. Referencia OTHR-050.,OTHR,synthetic
"Hola, por favor ayúdenme. Solicito la baja inmediata del internet y de la televisión contratada Agradezco una respuesta lo antes posible. Referencia CNCL-059.",CNCL,synthetic
Buenas tardes. Quiero actualizar el método de pago asociado con mi cuenta ¿Podrían indicarme qué debo hacer? Referencia BILL-015.,BILL,synthetic
Estimado equipo de atención al cliente: Quisiera dejar un comentario sobre la atención recibida por el asesor El problema continúa hasta este momento. Referencia OTHR-075.,OTHR,synthetic
Buenas tardes. La señal de wifi se desconecta constantemente en toda la casa ¿Podrían indicarme qué debo hacer? Referencia TECH-010.,TECH,synthetic
Estimado equipo de atención al cliente: Quiero cancelar definitivamente el servicio porque ya no lo necesito El problema continúa hasta este momento. Referencia CNCL-073.,CNCL,synthetic
Estimado equipo de atención al cliente: Quiero reducir la velocidad para contratar un plan más económico Quedo atento a su pronta respuesta. Referencia PLAN-024.,PLAN,synthetic
Buenas tardes. Quiero registrar un nuevo número telefónico para recibir notificaciones El problema continúa hasta este momento. Referencia OTHR-024.,OTHR,synthetic
"Hola, por favor ayúdenme. Quiero registrar un nuevo número telefónico para recibir notificaciones Quedo atento a su pronta respuesta. Referencia OTHR-078.",OTHR,synthetic
"Buenos días, necesito asistencia. Quiero actualizar el método de pago asociado con mi cuenta El problema continúa hasta este momento. Referencia BILL-050.",BILL,synthetic
Estimado equipo de atención al cliente: Deseo renovar mi plan y conocer las promociones vigentes para clientes Agradezco una respuesta lo antes posible. Referencia PLAN-069.,PLAN,synthetic
Buenas tardes. No estoy conforme con el servicio y quiero finalizar el contrato Necesito resolverlo durante el día de hoy. Referencia CNCL-067.,CNCL,synthetic
"Hola, por favor ayúdenme. Necesito soporte porque el internet se cae cada pocos minutos El problema continúa hasta este momento. Referencia TECH-071.",TECH,synthetic
"Buenos días, necesito asistencia. Solicito terminar mi contrato y conocer el proceso de cancelación Necesito resolverlo durante el día de hoy. Referencia CNCL-014.",CNCL,synthetic
Estimado equipo de atención al cliente: Quiero actualizar el método de pago asociado con mi cuenta Necesito resolverlo durante el día de hoy. Referencia BILL-034.,BILL,synthetic
Buenas tardes. Quiero actualizar el método de pago asociado con mi cuenta Necesito resolverlo durante el día de hoy. Referencia BILL-041.,BILL,synthetic
"Hola, por favor ayúdenme. No puedo navegar aunque ya reinicié el router varias veces Agradezco una respuesta lo antes posible. Referencia TECH-018.",TECH,synthetic
Buenas tardes. Quiero cambiar el nombre del titular asociado con la cuenta El problema continúa hasta este momento. Referencia OTHR-058.,OTHR,synthetic
Por favor revisen mi solicitud. La velocidad contratada no coincide con la que recibo actualmente El problema continúa hasta este momento. Referencia TECH-039.,TECH,synthetic
Buenas tardes. Quiero cambiar el nombre del titular asociado con la cuenta Quedo atento a su pronta respuesta. Referencia OTHR-038.,OTHR,synthetic
Estimado equipo de atención al cliente: La fecha límite de pago indicada en la factura parece incorrecta ¿Podrían indicarme qué debo hacer? Referencia BILL-003.,BILL,synthetic
"Buenos días, necesito asistencia. Quiero cambiar mi plan actual por uno con mayor velocidad de internet Agradezco una respuesta lo antes posible. Referencia PLAN-002.",PLAN,synthetic
Por favor revisen mi solicitud. Necesito corregir un dato personal que aparece mal escrito en el sistema Agradezco una respuesta lo antes posible. Referencia OTHR-001.,OTHR,synthetic
Por favor revisen mi solicitud. Mi factura tiene un cobro adicional que no reconozco este mes El problema continúa hasta este momento. Referencia BILL-069.,BILL,synthetic
Buenas tardes. Quiero actualizar el método de pago asociado con mi cuenta El problema continúa hasta este momento. Referencia BILL-065.,BILL,synthetic
Buenas tardes. Mi factura tiene un cobro adicional que no reconozco este mes El problema continúa hasta este momento. Referencia BILL-039.,BILL,synthetic
Estimado equipo de atención al cliente: Solicito una copia de la factura con el detalle de todos los cargos ¿Podrían indicarme qué debo hacer? Referencia BILL-047.,BILL,synthetic
Buenas tardes. Quisiera dejar un comentario sobre la atención recibida por el asesor El problema continúa hasta este momento. Referencia OTHR-037.,OTHR,synthetic
Por favor revisen mi solicitud. Mi conexión a internet está demasiado lenta y no puedo trabajar Necesito resolverlo durante el día de hoy. Referencia TECH-046.,TECH,synthetic
Estimado equipo de atención al cliente: Quiero cambiar mi plan actual por uno con mayor velocidad de internet Quedo atento a su pronta respuesta. Referencia PLAN-026.,PLAN,synthetic
"Hola, por favor ayúdenme. La velocidad contratada no coincide con la que recibo actualmente Quedo atento a su pronta respuesta. Referencia TECH-040.",TECH,synthetic
Por favor revisen mi solicitud. El descuento ofrecido no fue aplicado en mi última factura Agradezco una respuesta lo antes posible. Referencia BILL-075.,BILL,synthetic
Por favor revisen mi solicitud. Solicito activar un paquete adicional de canales deportivos Agradezco una respuesta lo antes posible. Referencia PLAN-080.,PLAN,synthetic
Estimado equipo de atención al cliente: Necesito corregir un dato personal que aparece mal escrito en el sistema El problema continúa hasta este momento. Referencia OTHR-055.,OTHR,synthetic
Estimado equipo de atención al cliente: Deseo retirar todos los equipos y cerrar mi cuenta de cliente ¿Podrían indicarme qué debo hacer? Referencia CNCL-008.,CNCL,synthetic
"Buenos días, necesito asistencia. Quisiera retirar la telefonía y mantener solamente el servicio de internet ¿Podrían indicarme qué debo hacer? Referencia PLAN-016.",PLAN,synthetic
"Buenos días, necesito asistencia. Necesito solicitar una copia del contrato firmado cuando instalé el servicio El problema continúa hasta este momento. Referencia OTHR-066.",OTHR,synthetic
"Buenos días, necesito asistencia. Mi conexión a internet está demasiado lenta y no puedo trabajar Agradezco una respuesta lo antes posible. Referencia TECH-061.",TECH,synthetic
Por favor revisen mi solicitud. Necesito solicitar una copia del contrato firmado cuando instalé el servicio Necesito resolverlo durante el día de hoy. Referencia OTHR-077.,OTHR,synthetic
Estimado equipo de atención al cliente: Deseo agregar televisión y telefonía a mi paquete de servicios Quedo atento a su pronta respuesta. Referencia PLAN-006.,PLAN,synthetic
Estimado equipo de atención al cliente: Quisiera retirar la telefonía y mantener solamente el servicio de internet Agradezco una respuesta lo antes posible. Referencia PLAN-019.,PLAN,synthetic
Estimado equipo de atención al cliente: Necesito una explicación del valor total facturado en mi cuenta Necesito resolverlo durante el día de hoy. Referencia BILL-010.,BILL,synthetic
"Hola, por favor ayúdenme. Necesito corregir un dato personal que aparece mal escrito en el sistema El problema continúa hasta este momento. Referencia OTHR-025.",OTHR,synthetic
"Buenos días, necesito asistencia. Solicito activar un paquete adicional de canales deportivos Quedo atento a su pronta respuesta. Referencia PLAN-025.",PLAN,synthetic
Por favor revisen mi solicitud. Quiero actualizar el método de pago asociado con mi cuenta El problema continúa hasta este momento. Referencia BILL-056.,BILL,synthetic
"Hola, por favor ayúdenme. Necesito migrar mi contrato al nuevo plan de fibra óptica Necesito resolverlo durante el día de hoy. Referencia PLAN-050.",PLAN,synthetic
Estimado equipo de atención al cliente: Quiero reducir la velocidad para contratar un plan más económico ¿Podrían indicarme qué debo hacer? Referencia PLAN-003.,PLAN,synthetic
Por favor revisen mi solicitud. Deseo conocer la dirección de la sucursal más cercana a mi domicilio Necesito resolverlo durante el día de hoy. Referencia OTHR-035.,OTHR,synthetic
