tenure_months,monthly_charge,total_charges,contract_type,payment_method,num_tickets,avg_satisfaction,churn
60,119.13,7352.53,month-to-month,bank-transfer,10,3.2,1
55,95.93,5349.31,month-to-month,bank-transfer,7,4.4,1
49,82.91,4174.61,one-year,card,9,2.2,0
36,20.89,753.52,two-year,cash,10,4.1,0
37,105.33,3666.94,month-to-month,cash,3,3.4,1
18,89.11,1481.55,month-to-month,bank-transfer,10,3.6,1
17,29.91,475.18,month-to-month,card,4,2.3,0
47,78.39,3781.64,month-to-month,bank-transfer,4,4.3,0
44,108.47,4842.43,month-to-month,card,7,4.9,0
51,126.4,6118.22,one-year,card,8,2.5,1
48,94.01,4618.22,month-to-month,cash,10,2.0,1
30,71.86,2035.83,one-year,cash,9,4.5,1
60,120.03,7375.28,month-to-month,card,4,3.6,0
64,32.77,2015.09,month-to-month,bank-transfer,3,4.5,0
70,66.1,4570.19,one-year,bank-transfer,2,4.5,0
36,23.6,861.58,month-to-month,card,5,1.9,1
48,79.89,3936.35,month-to-month,card,10,2.4,0
59,30.08,1642.62,one-year,card,3,3.6,0
17,106.57,1783.61,one-year,card,3,1.3,0
30,56.14,1708.49,one-year,bank-transfer,2,4.2,0
17,79.42,1244.34,two-year,card,2,1.4,0
31,84.77,2539.33,month-to-month,cash,0,1.7,1
9,72.39,615.27,month-to-month,cash,5,3.1,0
67,53.18,3610.1,month-to-month,bank-transfer,10,4.9,0
14,73.93,969.11,month-to-month,cash,7,1.3,1
71,98.34,6811.85,month-to-month,bank-transfer,6,5.0,0
15,113.81,1651.34,one-year,card,10,4.5,0
53,57.28,2935.49,one-year,bank-transfer,7,2.6,0
48,124.9,5577.07,month-to-month,card,10,4.7,1
48,109.29,5016.47,two-year,cash,8,1.2,1
46,116.1,5266.07,one-year,bank-transfer,6,4.5,0
65,43.4,2857.65,two-year,bank-transfer,10,2.9,0
36,83.15,2955.96,two-year,cash,6,4.4,0
4,86.99,330.58,month-to-month,card,10,4.3,0
44,58.61,2392.27,one-year,bank-transfer,2,4.5,0
4,30.09,112.82,month-to-month,bank-transfer,8,1.9,1
42,105.45,4151.27,two-year,card,9,3.4,0
11,49.93,521.8,one-year,bank-transfer,10,2.7,0
15,57.97,850.39,one-year,bank-transfer,1,2.1,0
29,63.48,1849.04,month-to-month,card,9,1.2,1
38,56.09,2050.05,month-to-month,card,0,3.0,0
65,81.46,4895.95,month-to-month,cash,10,4.2,1
10,114.83,1109.2,month-to-month,cash,9,2.7,1
3,126.28,386.86,one-year,cash,2,4.2,1
14,46.76,655.97,month-to-month,bank-transfer,9,2.6,1
22,28.4,598.95,month-to-month,bank-transfer,10,1.5,0
19,45.99,876.98,month-to-month,card,2,2.0,0
23,124.64,2778.94,one-year,cash,10,3.0,0
42,115.07,4681.39,month-to-month,bank-transfer,10,2.3,1
36,85.06,2829.85,month-to-month,bank-transfer,5,3.0,1
37,28.44,1035.27,month-to-month,bank-transfer,1,3.5,0
6,69.47,406.46,month-to-month,bank-transfer,9,3.6,0
58,31.39,1709.53,month-to-month,cash,5,4.9,0
57,129.01,7507.8,month-to-month,bank-transfer,8,3.1,1
44,94.68,3983.73,one-year,card,0,4.2,0
50,51.26,2451.94,one-year,card,10,4.9,0
19,120.84,2144.85,one-year,bank-transfer,4,4.9,0
11,54.05,590.81,month-to-month,card,6,3.6,0
68,30.28,1964.27,month-to-month,bank-transfer,10,2.7,0
44,124.24,5075.64,two-year,card,7,1.8,0
13,75.85,978.96,two-year,card,8,4.3,0
17,85.7,1470.0,two-year,cash,2,1.6,1
57,24.81,1396.02,month-to-month,bank-transfer,5,3.7,0
58,45.74,2704.49,one-year,bank-transfer,3,2.2,0
57,70.78,4140.52,month-to-month,bank-transfer,4,4.1,0
18,116.03,2136.1,two-year,cash,0,3.6,0
67,113.63,7762.3,month-to-month,bank-transfer,4,1.3,1
56,30.09,1627.14,two-year,card,3,4.3,0
48,45.94,2232.26,month-to-month,card,1,2.5,0
19,35.14,669.98,month-to-month,card,4,4.7,0
1,119.64,122.44,two-year,cash,0,2.0,0
55,32.23,1712.7,month-to-month,card,4,2.0,0
59,26.91,1561.1,month-to-month,cash,7,3.4,0
38,67.22,2536.69,one-year,card,9,2.4,1
47,27.44,1265.12,one-year,cash,8,3.2,0
61,24.79,1450.61,month-to-month,card,6,4.9,0
31,100.62,2915.46,one-year,bank-transfer,10,1.4,1
44,109.49,4685.74,one-year,cash,2,4.3,0
18,26.94,493.38,month-to-month,card,7,1.1,1
40,76.69,2886.68,month-to-month,cash,8,2.9,1
7,115.24,821.07,one-year,bank-transfer,5,2.1,0
50,57.29,2719.38,month-to-month,cash,2,3.0,1
55,28.68,1506.94,month-to-month,bank-transfer,9,5.0,1
38,53.71,1956.63,month-to-month,bank-transfer,9,3.9,1
46,87.63,3741.78,two-year,card,6,2.1,0
47,76.44,3573.24,month-to-month,cash,10,1.6,1
17,27.4,430.2,month-to-month,cash,10,2.5,1
58,124.37,7056.5,month-to-month,card,5,2.8,0
36,47.46,1644.61,month-to-month,cash,1,1.1,0
34,105.25,3652.98,one-year,cash,7,1.9,0
16,34.93,575.48,two-year,bank-transfer,1,2.8,0
41,93.46,3884.16,month-to-month,bank-transfer,1,3.2,0
23,107.31,2334.95,two-year,card,8,1.9,1
47,80.94,3755.92,two-year,card,5,2.9,1
40,63.8,2368.54,one-year,cash,7,3.1,0
10,69.5,688.31,month-to-month,cash,10,3.1,1
17,67.59,1077.92,month-to-month,bank-transfer,0,4.3,0
29,58.06,1585.4,two-year,bank-transfer,8,4.6,0
36,33.77,1141.01,month-to-month,cash,4,3.5,0
20,38.83,717.99,one-year,cash,9,3.9,0
11,25.0,276.2,month-to-month,card,10,4.1,1
4,74.78,291.08,one-year,bank-transfer,10,3.2,0
52,52.72,2668.15,month-to-month,bank-transfer,1,3.8,0
19,54.38,965.42,two-year,bank-transfer,5,3.9,0
72,31.68,2133.83,month-to-month,card,3,2.9,1
50,115.06,5807.55,two-year,card,6,2.0,0
41,40.88,1704.07,month-to-month,bank-transfer,2,3.0,0
12,123.98,1426.49,month-to-month,cash,8,2.8,1
64,85.73,5559.08,month-to-month,card,10,3.7,0
34,100.03,3339.12,month-to-month,cash,6,2.5,1
37,28.09,1033.97,month-to-month,cash,8,2.8,1
13,63.33,775.45,month-to-month,card,5,3.2,1
65,24.43,1551.63,month-to-month,bank-transfer,0,1.5,0
66,35.38,2338.17,month-to-month,cash,9,2.3,0
44,75.8,3242.61,one-year,bank-transfer,8,3.1,1
43,94.12,4111.63,one-year,cash,6,3.3,0
61,49.21,2836.8,one-year,cash,10,4.1,1
62,38.76,2249.93,one-year,bank-transfer,10,3.9,0
5,82.98,388.62,month-to-month,bank-transfer,1,1.8,0
53,75.2,3985.66,two-year,cash,9,4.7,0
67,42.81,2737.8,month-to-month,bank-transfer,5,5.0,0
69,57.66,3941.79,two-year,cash,5,3.7,0
62,41.15,2563.62,month-to-month,bank-transfer,3,2.1,0
63,54.87,3284.25,two-year,cash,5,3.2,0
70,61.77,4116.14,two-year,card,6,4.3,0
11,58.1,602.18,one-year,card,7,3.6,0
72,96.58,6582.92,one-year,card,2,1.4,0
68,44.82,2962.31,month-to-month,cash,3,1.2,0
18,20.57,378.72,month-to-month,cash,8,4.9,0
62,91.56,5629.9,one-year,card,4,2.3,0
5,120.46,620.18,two-year,card,2,2.7,0
64,40.49,2555.87,month-to-month,cash,4,4.5,0
43,51.3,2235.94,month-to-month,card,10,3.2,0
25,108.97,2721.65,month-to-month,bank-transfer,5,1.6,1
44,106.98,4773.85,month-to-month,cash,9,3.7,0
55,76.68,4101.51,month-to-month,card,1,2.6,0
1,48.69,46.41,month-to-month,bank-transfer,3,2.8,0
2,48.77,94.73,month-to-month,card,5,3.8,1
65,121.54,7587.49,one-year,bank-transfer,4,3.8,0
18,72.6,1303.16,one-year,bank-transfer,7,4.0,0
69,108.22,7586.99,one-year,cash,3,4.0,0
58,78.1,4580.38,one-year,card,5,1.3,0
26,83.0,2012.95,two-year,bank-transfer,2,1.7,1
63,30.0,1845.5,month-to-month,card,8,2.8,0
8,81.47,617.86,one-year,bank-transfer,10,4.2,1
28,83.61,2409.8,one-year,cash,0,2.7,0
9,128.48,1161.22,month-to-month,card,7,1.1,0
54,61.19,3176.45,two-year,bank-transfer,6,2.8,0
70,34.63,2371.19,two-year,bank-transfer,5,1.5,0
29,111.83,3177.85,month-to-month,cash,0,4.9,0
30,47.23,1422.86,month-to-month,cash,5,1.6,1
54,87.64,4371.43,month-to-month,cash,0,2.0,0
7,46.92,329.42,month-to-month,card,0,2.6,0
18,75.43,1296.75,two-year,cash,4,1.9,0
42,46.06,1843.7,month-to-month,bank-transfer,2,4.9,1
23,88.86,2091.96,month-to-month,bank-transfer,6,3.2,0
68,55.06,3755.26,month-to-month,card,6,2.6,0
29,53.08,1486.05,two-year,cash,2,4.2,0
68,34.75,2413.67,month-to-month,card,3,2.0,0
12,78.92,934.09,month-to-month,cash,3,1.2,0
25,108.51,2558.06,one-year,bank-transfer,9,3.9,0
39,125.27,4557.73,month-to-month,cash,0,1.8,0
62,120.59,7332.5,month-to-month,card,9,3.8,0
49,71.29,3552.98,month-to-month,cash,10,2.4,1
61,103.78,5855.97,month-to-month,bank-transfer,5,4.7,0
19,21.78,394.15,one-year,bank-transfer,8,4.7,0
30,61.78,1773.95,one-year,cash,3,3.0,0
63,126.32,8017.43,month-to-month,cash,10,4.0,1
70,73.71,4766.12,two-year,cash,8,5.0,0
7,104.08,726.95,one-year,card,6,1.5,1
65,70.16,4653.44,one-year,cash,0,3.5,0
3,20.73,59.09,month-to-month,cash,8,2.6,0
3,75.24,210.32,two-year,card,10,2.7,1
20,46.51,937.12,one-year,bank-transfer,9,3.1,1
52,70.49,3706.12,month-to-month,cash,3,5.0,0
5,30.29,139.49,month-to-month,cash,6,2.5,1
64,112.99,7364.61,one-year,card,10,4.1,0
30,43.26,1291.68,month-to-month,card,9,2.9,1
70,81.99,5887.15,two-year,card,0,1.7,0
51,122.18,6196.75,month-to-month,bank-transfer,4,1.6,0
50,103.12,5027.55,one-year,card,2,4.2,0
7,30.75,220.64,month-to-month,cash,3,4.4,0
42,23.26,937.0,month-to-month,card,4,4.1,0
56,40.43,2156.52,month-to-month,cash,9,3.6,0
10,29.02,290.6,one-year,card,2,2.5,0
14,30.07,393.44,one-year,card,4,2.8,0
58,81.27,4623.93,month-to-month,bank-transfer,8,2.6,0
42,115.01,4829.13,month-to-month,card,0,2.2,0
32,82.92,2529.06,month-to-month,bank-transfer,2,3.7,0
9,38.39,331.59,month-to-month,card,4,2.7,0
64,85.32,5593.56,month-to-month,card,3,2.8,0
49,108.45,5458.41,month-to-month,cash,5,2.8,1
42,86.35,3723.02,month-to-month,bank-transfer,3,2.9,1
63,126.45,7648.9,month-to-month,bank-transfer,3,2.3,0
26,85.14,2268.61,one-year,card,8,1.7,0
27,68.23,1831.21,month-to-month,bank-transfer,4,4.3,1
39,46.62,1687.52,month-to-month,bank-transfer,10,1.6,0
62,84.05,5033.99,two-year,cash,8,3.0,1
47,97.18,4588.4,two-year,card,8,3.4,0
46,38.3,1746.19,two-year,cash,9,1.2,0
43,126.23,5298.57,month-to-month,card,6,1.4,1
29,69.04,1952.21,one-year,cash,6,2.9,0
4,73.1,295.75,two-year,card,4,2.7,0
45,54.31,2376.44,month-to-month,bank-transfer,7,4.1,0
58,55.08,3237.48,one-year,card,4,1.2,0
22,122.29,2640.83,one-year,bank-transfer,3,3.1,0
30,107.75,3114.56,one-year,bank-transfer,10,1.7,0
26,69.45,1716.53,one-year,card,6,2.6,0
9,83.51,700.88,month-to-month,bank-transfer,8,1.7,1
63,78.05,4841.28,month-to-month,bank-transfer,10,2.3,1
59,87.91,5108.47,month-to-month,cash,10,3.8,0
41,32.96,1319.19,month-to-month,card,4,1.5,1
18,83.23,1529.76,one-year,cash,6,1.7,0
23,81.04,1841.8,month-to-month,bank-transfer,7,2.2,0
2,73.31,145.42,two-year,cash,3,4.3,0
63,65.72,4171.61,month-to-month,card,7,3.0,1
5,50.23,251.57,one-year,cash,8,2.2,0
71,76.19,5299.27,one-year,bank-transfer,9,1.5,0
57,80.1,4349.96,two-year,card,6,1.4,0
58,48.91,2675.33,two-year,card,1,2.8,0
45,114.72,5195.1,month-to-month,card,9,3.5,0
8,82.71,680.0,month-to-month,bank-transfer,8,2.1,1
35,124.76,4082.4,one-year,card,8,4.9,0
53,121.06,6079.1,month-to-month,card,4,4.5,0
32,103.76,3152.84,month-to-month,cash,10,2.6,1
58,28.31,1679.74,one-year,cash,1,2.6,0
63,56.0,3529.42,two-year,card,0,4.5,0
46,113.51,5087.89,two-year,card,8,2.6,0
37,57.15,2153.37,two-year,bank-transfer,9,1.5,0
6,30.95,179.86,two-year,card,7,1.1,1
55,42.26,2162.22,month-to-month,bank-transfer,2,4.5,0
11,60.9,669.81,month-to-month,bank-transfer,10,1.7,1
55,92.1,4991.06,month-to-month,card,1,1.0,0
57,21.02,1193.76,two-year,bank-transfer,5,4.3,0
30,62.14,1743.18,month-to-month,bank-transfer,1,1.4,0
18,90.57,1609.29,month-to-month,card,10,1.6,1
45,99.47,4456.11,two-year,cash,10,4.0,0
12,118.63,1364.72,one-year,bank-transfer,2,4.0,0
18,47.26,850.11,one-year,cash,10,1.3,1
4,113.27,442.23,month-to-month,cash,10,4.5,0
38,91.08,3427.08,month-to-month,bank-transfer,3,3.0,1
2,128.56,248.45,two-year,cash,5,1.5,1
23,103.9,2255.24,month-to-month,bank-transfer,1,1.1,0
51,75.73,3851.41,one-year,bank-transfer,10,3.9,1
69,79.14,5576.98,month-to-month,cash,2,2.1,0
20,79.0,1571.97,one-year,cash,6,3.3,1
56,100.3,5239.12,month-to-month,bank-transfer,3,1.2,0
8,54.02,404.11,month-to-month,cash,10,4.0,1
64,124.83,7496.72,one-year,bank-transfer,8,3.1,0
35,100.62,3345.33,month-to-month,bank-transfer,1,4.1,1
10,74.58,699.83,month-to-month,cash,8,2.4,1
14,118.37,1525.07,month-to-month,cash,10,3.9,0
2,46.9,95.9,two-year,card,7,2.5,0
71,108.34,7851.71,month-to-month,bank-transfer,10,2.7,1
10,82.87,782.75,two-year,card,1,3.0,0
6,124.95,716.72,two-year,bank-transfer,1,4.5,0
2,60.58,114.7,month-to-month,cash,4,3.3,1
64,129.76,7777.81,month-to-month,card,3,3.9,0
4,45.63,187.01,one-year,card,5,3.5,1
49,113.39,5368.2,month-to-month,card,4,1.4,0
19,98.28,1802.78,month-to-month,cash,1,1.2,0
59,127.2,7581.32,month-to-month,cash,1,3.3,1
8,67.85,554.67,month-to-month,bank-transfer,2,1.9,1
42,54.99,2322.96,two-year,card,4,1.9,0
20,31.62,606.73,month-to-month,cash,7,2.9,0
58,53.91,2981.27,month-to-month,cash,4,4.4,0
6,43.65,252.36,one-year,bank-transfer,5,1.6,1
39,48.62,1860.45,month-to-month,bank-transfer,2,1.1,0
13,70.82,860.25,month-to-month,card,2,1.5,0
48,95.49,4227.83,one-year,card,10,1.3,1
57,109.02,5800.76,one-year,bank-transfer,1,4.6,0
7,38.48,248.68,one-year,bank-transfer,9,2.7,0
23,58.93,1252.12,month-to-month,card,2,2.1,0
32,91.2,2713.09,one-year,card,7,2.6,0
54,41.94,2281.59,two-year,cash,8,2.0,0
46,72.77,3222.63,one-year,bank-transfer,7,2.4,0
41,85.68,3544.33,one-year,card,0,4.6,0
46,104.35,4543.42,month-to-month,cash,3,4.9,0
8,104.05,798.3,two-year,bank-transfer,3,3.3,0
23,39.37,924.11,one-year,bank-transfer,9,2.3,1
46,124.23,5598.2,two-year,bank-transfer,9,1.6,1
5,29.93,137.69,month-to-month,bank-transfer,3,3.4,0
26,108.71,2618.86,two-year,bank-transfer,5,3.9,0
19,105.18,1993.42,two-year,bank-transfer,8,4.4,0
13,57.02,746.52,month-to-month,bank-transfer,5,1.5,0
41,39.16,1516.54,two-year,bank-transfer,8,3.8,0
23,61.62,1451.78,one-year,cash,4,1.5,0
5,40.03,198.22,two-year,card,5,4.7,1
64,35.47,2247.34,two-year,card,1,2.0,0
43,69.13,2818.71,one-year,bank-transfer,4,1.8,1
1,25.3,24.65,two-year,bank-transfer,7,3.9,0
70,61.29,4053.54,one-year,cash,7,4.2,0
5,52.44,246.13,month-to-month,bank-transfer,5,2.0,1
10,80.18,799.79,two-year,bank-transfer,1,2.4,0
22,86.8,1961.51,month-to-month,card,6,1.6,1
71,99.42,6568.59,month-to-month,card,8,2.1,0
71,112.38,7599.18,month-to-month,card,2,1.2,0
62,41.96,2528.92,one-year,card,0,1.8,0
51,71.8,3443.33,one-year,bank-transfer,10,2.1,0
48,40.52,1968.45,month-to-month,card,0,2.1,0
20,102.75,1984.18,one-year,cash,10,1.4,0
30,80.9,2416.27,month-to-month,cash,6,4.3,0
31,72.39,2188.51,two-year,card,1,2.6,0
19,33.23,637.01,two-year,card,7,1.7,1
55,28.62,1473.78,two-year,cash,10,2.7,0
41,120.19,4710.35,one-year,cash,1,1.3,0
59,120.89,7175.2,one-year,cash,0,4.1,0
20,36.3,741.78,two-year,card,9,3.3,0
13,106.43,1331.2,two-year,bank-transfer,8,4.5,0
61,24.12,1465.88,one-year,cash,4,2.6,1
43,95.96,3805.36,two-year,bank-transfer,0,4.0,0
39,54.2,1975.94,one-year,card,7,4.4,0
57,105.14,5572.4,month-to-month,cash,5,2.1,0
53,101.5,5417.5,one-year,cash,8,4.5,0
65,64.37,4252.12,month-to-month,card,8,4.5,0
8,47.44,360.6,month-to-month,card,7,1.2,1
65,63.66,4077.26,month-to-month,bank-transfer,1,3.7,0
61,84.56,5170.47,two-year,bank-transfer,5,2.4,0
37,23.02,863.9,one-year,card,0,1.7,0
27,49.6,1233.37,two-year,cash,6,3.1,0
23,86.13,1977.82,one-year,bank-transfer,0,1.9,0
36,66.62,2329.58,month-to-month,card,6,4.4,0
51,84.29,4220.38,one-year,bank-transfer,0,3.0,0
37,52.83,1936.07,month-to-month,bank-transfer,1,2.9,0
34,92.17,3193.21,month-to-month,card,10,2.2,0
52,92.66,4961.53,month-to-month,bank-transfer,10,1.6,1
54,64.51,3336.35,two-year,card,0,3.3,0
69,90.21,5932.07,one-year,cash,7,4.6,0
72,39.92,2899.87,one-year,cash,1,2.9,0
24,124.16,2985.39,month-to-month,card,5,3.6,1
43,60.89,2424.27,two-year,bank-transfer,9,2.2,0
10,71.94,703.78,two-year,bank-transfer,3,3.0,0
20,35.11,657.09,two-year,bank-transfer,3,2.4,0
24,105.68,2510.44,two-year,bank-transfer,7,2.3,1
36,43.03,1447.2,month-to-month,card,2,3.3,0
55,64.37,3541.67,month-to-month,card,7,2.5,0
42,103.25,4339.52,one-year,cash,8,1.8,1
45,54.33,2266.82,one-year,card,1,2.5,1
38,70.15,2744.34,month-to-month,cash,8,3.4,1
63,59.52,3457.67,two-year,bank-transfer,3,1.7,0
17,43.23,733.6,month-to-month,bank-transfer,0,3.4,0
49,116.42,5872.38,one-year,cash,4,4.1,0
3,25.31,71.97,month-to-month,cash,1,2.7,0
27,96.47,2586.13,month-to-month,card,10,1.0,1
18,66.07,1109.03,one-year,bank-transfer,1,3.0,1
26,86.99,2255.81,two-year,bank-transfer,4,4.3,0
6,80.3,443.4,month-to-month,card,3,3.8,0
15,111.88,1557.8,two-year,cash,10,3.0,0
33,90.88,2775.64,month-to-month,bank-transfer,7,5.0,0
6,113.75,636.6,month-to-month,cash,5,4.2,0
6,21.06,128.68,month-to-month,bank-transfer,2,3.7,0
35,116.63,3935.45,month-to-month,card,1,2.5,0
35,111.93,3652.87,one-year,card,7,4.2,0
8,127.97,1032.21,two-year,bank-transfer,2,1.4,0
24,87.25,2150.7,two-year,cash,5,3.4,1
63,32.42,1949.66,month-to-month,cash,6,2.8,0
68,104.43,7215.19,month-to-month,cash,9,3.9,0
13,67.61,845.83,one-year,cash,3,2.9,0
72,118.13,8297.93,one-year,card,9,1.2,0
64,115.64,7598.68,month-to-month,bank-transfer,1,4.0,1
29,80.55,2263.21,month-to-month,bank-transfer,6,2.6,0
12,114.22,1359.5,two-year,cash,7,2.3,1
53,23.94,1301.74,month-to-month,cash,8,1.0,0
66,81.86,5461.02,two-year,bank-transfer,10,3.7,0
59,56.52,3330.51,one-year,bank-transfer,9,3.4,0
29,20.24,575.37,two-year,bank-transfer,5,4.3,0
14,25.04,350.34,one-year,cash,2,3.0,1
26,40.63,1055.16,one-year,card,6,1.9,1
54,25.12,1316.21,one-year,bank-transfer,10,4.3,0
65,34.81,2314.43,one-year,cash,7,1.0,0
62,121.68,7026.56,month-to-month,card,2,3.8,0
42,75.45,3181.14,one-year,cash,6,2.7,0
44,126.75,5560.28,month-to-month,cash,7,4.2,0
39,112.74,4351.06,one-year,cash,8,4.4,0
38,95.53,3540.94,one-year,card,10,1.5,0
42,98.14,4114.1,one-year,cash,5,3.2,0
69,51.45,3414.78,month-to-month,card,6,4.2,1
